Date,"Python"
2015-07-01,579
2015-07-02,527
2015-07-03,469
2015-07-04,466
2015-07-05,413
2015-07-06,545
2015-07-07,550
2015-07-08,542
2015-07-09,532
2015-07-10,501
2015-07-11,433
2015-07-12,424
2015-07-13,544
2015-07-14,569
2015-07-15,566
2015-07-16,541
2015-07-17,494
2015-07-18,381
2015-07-19,405
2015-07-20,905
2015-07-21,568
2015-07-22,518
2015-07-23,574
2015-07-24,600
2015-07-25,332
2015-07-26,389
2015-07-27,618
2015-07-28,539
2015-07-29,522
2015-07-30,669
2015-07-31,528
2015-08-01,378
2015-08-02,401
2015-08-03,455
2015-08-04,537
2015-08-05,504
2015-08-06,537
2015-08-07,405
2015-08-08,336
2015-08-09,370
2015-08-10,441
2015-08-11,502
2015-08-12,535
2015-08-13,622
2015-08-14,453
2015-08-15,382
2015-08-16,399
2015-08-17,490
2015-08-18,530
2015-08-19,447
2015-08-20,526
2015-08-21,426
2015-08-22,355
2015-08-23,390
2015-08-24,506
2015-08-25,475
2015-08-26,543
2015-08-27,636
2015-08-28,504
2015-08-29,359
2015-08-30,395
2015-08-31,550
2015-09-01,653
2015-09-02,624
2015-09-03,641
2015-09-04,514
2015-09-05,418
2015-09-06,392
2015-09-07,479
2015-09-08,610
2015-09-09,568
2015-09-10,583
2015-09-11,527
2015-09-12,389
2015-09-13,522
2015-09-14,539
2015-09-15,510
2015-09-16,553
2015-09-17,499
2015-09-18,464
2015-09-19,349
2015-09-20,408
2015-09-21,543
2015-09-22,544
2015-09-23,616
2015-09-24,636
2015-09-25,480
2015-09-26,429
2015-09-27,518
2015-09-28,556
2015-09-29,499
2015-09-30,535
2015-10-01,484
2015-10-02,481
2015-10-03,316
2015-10-04,406
2015-10-05,495
2015-10-06,646
2015-10-07,586
2015-10-08,561
2015-10-09,495
2015-10-10,374
2015-10-11,498
2015-10-12,743
2015-10-13,891
2015-10-14,533
2015-10-15,574
2015-10-16,543
2015-10-17,359
2015-10-18,444
2015-10-19,605
2015-10-20,562
2015-10-21,553
2015-10-22,523
2015-10-23,469
2015-10-24,349
2015-10-25,382
2015-10-26,485
2015-10-27,523
2015-10-28,547
2015-10-29,644
2015-10-30,454
2015-10-31,333
2015-11-01,643
2015-11-02,492
2015-11-03,531
2015-11-04,536
2015-11-05,553
2015-11-06,505
2015-11-07,607
2015-11-08,413
2015-11-09,565
2015-11-10,572
2015-11-11,592
2015-11-12,526
2015-11-13,463
2015-11-14,332
2015-11-15,461
2015-11-16,504
2015-11-17,494
2015-11-18,526
2015-11-19,608
2015-11-20,539
2015-11-21,342
2015-11-22,418
2015-11-23,541
2015-11-24,536
2015-11-25,610
2015-11-26,595
2015-11-27,440
2015-11-28,346
2015-11-29,364
2015-11-30,467
2015-12-01,505
2015-12-02,696
2015-12-03,589
2015-12-04,546
2015-12-05,395
2015-12-06,431
2015-12-07,528
2015-12-08,560
2015-12-09,534
2015-12-10,448
2015-12-11,432
2015-12-12,369
2015-12-13,348
2015-12-14,461
2015-12-15,461
2015-12-16,480
2015-12-17,460
2015-12-18,469
2015-12-19,301
2015-12-20,333
2015-12-21,455
2015-12-22,406
2015-12-23,366
2015-12-24,313
2015-12-25,330
2015-12-26,304
2015-12-27,331
2015-12-28,420
2015-12-29,418
2015-12-30,412
2015-12-31,314
2016-01-01,338
2016-01-02,522
2016-01-03,379
2016-01-04,511
2016-01-05,544
2016-01-06,499
2016-01-07,503
2016-01-08,508
2016-01-09,312
2016-01-10,389
2016-01-11,523
2016-01-12,557
2016-01-13,548
2016-01-14,506
2016-01-15,501
2016-01-16,381
2016-01-17,418
2016-01-18,504
2016-01-19,1455
2016-01-20,511
2016-01-21,530
2016-01-22,986
2016-01-23,332
2016-01-24,429
2016-01-25,517
2016-01-26,592
2016-01-27,470
2016-01-28,501
2016-01-29,481
2016-01-30,340
2016-01-31,406
2016-02-01,537
2016-02-02,506
2016-02-03,532
2016-02-04,592
2016-02-05,462
2016-02-06,348
2016-02-07,319
2016-02-08,440
2016-02-09,675
2016-02-10,515
2016-02-11,467
2016-02-12,399
2016-02-13,355
2016-02-14,503
2016-02-15,433
2016-02-16,483
2016-02-17,526
2016-02-18,500
2016-02-19,475
2016-02-20,322
2016-02-21,357
2016-02-22,520
2016-02-23,521
2016-02-24,515
2016-02-25,530
2016-02-26,431
2016-02-27,384
2016-02-28,449
2016-02-29,481
2016-03-01,482
2016-03-02,477
2016-03-03,462
2016-03-04,429
2016-03-05,360
2016-03-06,389
2016-03-07,489
2016-03-08,481
2016-03-09,482
2016-03-10,484
2016-03-11,483
2016-03-12,317
2016-03-13,302
2016-03-14,463
2016-03-15,440
2016-03-16,424
2016-03-17,456
2016-03-18,503
2016-03-19,363
2016-03-20,362
2016-03-21,519
2016-03-22,534
2016-03-23,547
2016-03-24,473
2016-03-25,390
2016-03-26,317
2016-03-27,311
2016-03-28,458
2016-03-29,456
2016-03-30,489
2016-03-31,437
2016-04-01,416
2016-04-02,285
2016-04-03,288
2016-04-04,419
2016-04-05,493
2016-04-06,451
2016-04-07,501
2016-04-08,458
2016-04-09,305
2016-04-10,345
2016-04-11,652
2016-04-12,742
2016-04-13,500
2016-04-14,497
2016-04-15,440
2016-04-16,318
2016-04-17,345
2016-04-18,549
2016-04-19,516
2016-04-20,1463
2016-04-21,478
2016-04-22,431
2016-04-23,331
2016-04-24,351
2016-04-25,475
2016-04-26,510
2016-04-27,566
2016-04-28,465
2016-04-29,393
2016-04-30,279
2016-05-01,275
2016-05-02,444
2016-05-03,439
2016-05-04,426
2016-05-05,449
2016-05-06,440
2016-05-07,314
2016-05-08,380
2016-05-09,479
2016-05-10,482
2016-05-11,489
2016-05-12,480
2016-05-13,405
2016-05-14,367
2016-05-15,364
2016-05-16,506
2016-05-17,501
2016-05-18,515
2016-05-19,627
2016-05-20,443
2016-05-21,321
2016-05-22,343
2016-05-23,567
2016-05-24,534
2016-05-25,504
2016-05-26,526
2016-05-27,2095
2016-05-28,430
2016-05-29,386
2016-05-30,486
2016-05-31,521
2016-06-01,506
2016-06-02,421
2016-06-03,575
2016-06-04,279
2016-06-05,299
2016-06-06,439
2016-06-07,435
2016-06-08,437
2016-06-09,401
2016-06-10,383
2016-06-11,301
2016-06-12,292
2016-06-13,431
2016-06-14,427
2016-06-15,405
2016-06-16,439
2016-06-17,416
2016-06-18,319
2016-06-19,308
2016-06-20,441
2016-06-21,458
2016-06-22,600
2016-06-23,540
2016-06-24,368
2016-06-25,299
2016-06-26,278
2016-06-27,361
2016-06-28,402
2016-06-29,447
2016-06-30,465
2016-07-01,342
2016-07-02,297
2016-07-03,298
2016-07-04,346
2016-07-05,456
2016-07-06,434
2016-07-07,397
2016-07-08,378
2016-07-09,340
2016-07-10,339
2016-07-11,396
2016-07-12,415
2016-07-13,375
2016-07-14,361
2016-07-15,340
2016-07-16,256
2016-07-17,260
2016-07-18,355
2016-07-19,363
2016-07-20,348
2016-07-21,360
2016-07-22,347
2016-07-23,283
2016-07-24,282
2016-07-25,370
2016-07-26,361
